review_id,title,text,rating,timestamp,helpful_vote,verified_purchase
review_c644e4ba26ad9d49,Love this scent!! Shipment was quick,One of the best soaps bath and body works has in my opinion! Product got here quickly.,5.0,1574660428981,0,True
review_97c0351d2a8e8c35,Five Stars,Good,5.0,1443565212000,0,True
review_fd0dad6435cb32f9,Love them,Love these! I make my own products for family and friends around the holidays and these were perfect and classy! Love them!,5.0,1614031290180,0,True
review_3cda621fdae53e4b,My cats nam is Tonks,"This is my favorite lip color ever! I put it on once in the morning and have never had to re-apply. I remove it at the end of the day after eating and working out and it doesn't dry my lips out like some other brands of liquid lipstick. I originally bought it when it came out as Nymphadora, because of the name (my calico cat is named Tonks). The only drawback is I don't think there's as much in the tube as it appears. I went through Nymphadora in about 6 months, though I do wear it more often than any other liquid lipstick I've purchased. I've re-purchased it as Nymphea and will continue doing so everytime it runs out!",5.0,1462326611000,0,False
review_e314fd9409a3f242,"Like many ""mature adults""","Like many &#34;mature adults&#34;, it seems that I grow nose hair faster than any other hair. Ugh! I had a little miniature clipper years ago, and it sat in the damp bathroom and the battery rusted, so now it's &#34;toast&#34;. Had always been fascinated by these little &#34;finger powered&#34; trimmers, but never seemed to come across one. Searched Amazon, and there it is! Looks exactly like I remembered from years ago, and inexpensive as well.<br /><br />The quality and packaging are fantastic! Comes with a cleaning brush, a spring, and instructions. Packaging is very nice. Looks like it will last FOREVER. And, NO BATTERIES. Electric products that look a lot like this cost twice as much.<br /><br />It requires a little bit of practice to use because everything is &#34;backwards&#34; looking into a mirror and holding the tool. Very sharp, and despite my clumsy hands, no nicks or scratches. Seems to be &#34;idiot proof.&#34; I give it only four stars because despite hacking away for some time, I was never able to clip ALL of my nose hair. It doesn't show, but it's still pretty long in there and will reappear quicker than I'd like. Cannot imagine using it on &#34;ear hair&#34;, because looking at my ears in the mirror seems too difficult. (Guess the lady who cuts my hair will continue to clean up that hair and trim my eyebrows. Ive never had the nerve to ask her to trim my nose!)<br /><br />This quality for this price is still a GREAT DEAL.",4.0,1491440031000,2,True
review_c1cf8c0dbc82ff46,Love it,Love it,5.0,1565569245615,0,True
review_581d678ad6288882,Meh,"These are much easier than the regular glue and stick method in my opinion but the adhesive doesn’t work that well, especially in the corners of my eyes I noticed.<br /><br />As for easy to remove, it’s not. My makeup wipe, my spit, water and some soap didn’t work too well and I didn’t wanna scrub my eyes raw or peel off the adhesive once it dried to my lids and real eyelashes.",2.0,1614312270516,0,True
review_d1a4c081c1c97d4e,It works great,"I wanted to relive the experience of using the waterpiks of the 60's and this did it. This machine does a great job of getting around your gum line, under bridges, and in between teeth.",5.0,1592688887638,0,True
review_d463e09a8f75d615,Top bar too tall,The top of the eyelash curler is too high so it makes it difficult to get it at the base of your lashes.,4.0,1568421141131,0,True
review_b8442bead6d0df7a,Really a beautiful case and it was a pleasant surprise,What a beautiful case don’t have any opinions for the other questions I’ve only used it twice so far,5.0,1578696035683,0,True
