user_id,review_id
AGKHLEW2SOWHNMFQIJGBECAF7INQ,review_cc34dcaea06c3544
AGKHLEW2SOWHNMFQIJGBECAF7INQ,review_cfd786100db0a967
AE74DYR3QUGVPZJ3P7RFWBGIX7XQ,review_93be43bec25ad3b5
AFQLNQNQYFWQZPJQZS6V3NZU4QBQ,review_a470f9ddc8cdc8d6
AFQLNQNQYFWQZPJQZS6V3NZU4QBQ,review_bf6403f440c25a94
AGMJ3EMDVL6OWBJF7CA5RGJLXN5A,review_b2189cb833c621bf
AHREXOGQPZDA6354MHH4ETSF3MCQ,review_0a8d3a7cfc582479
AEYORY2AVPMCPDV57CE337YU5LXA,review_18cc4cfe9775d683
AFSKPY37N3C43SOI5IEXEK5JSIYA,review_2b41e2080924fe84
AFSKPY37N3C43SOI5IEXEK5JSIYA,review_60faeb18ca22c0e3
AFSKPY37N3C43SOI5IEXEK5JSIYA,review_2c84891452ea5b91
AFSKPY37N3C43SOI5IEXEK5JSIYA,review_43598689dbe2013e
AFSKPY37N3C43SOI5IEXEK5JSIYA,review_892df1ed9f8a3f98
AFSKPY37N3C43SOI5IEXEK5JSIYA,review_18265caaa61eff58
AFSKPY37N3C43SOI5IEXEK5JSIYA,review_48f3b22828b3759f
AFSKPY37N3C43SOI5IEXEK5JSIYA,review_005cf0fa7367c5c3
AFSKPY37N3C43SOI5IEXEK5JSIYA,review_4424aa0bd89d3078
AFSKPY37N3C43SOI5IEXEK5JSIYA,review_1b2879d7b6a79f6f
AFSKPY37N3C43SOI5IEXEK5JSIYA,review_e18f43bcdb734ad3
AFSKPY37N3C43SOI5IEXEK5JSIYA,review_52f5c555beaf683d
AFSKPY37N3C43SOI5IEXEK5JSIYA,review_f2c88377b6dd94d8
AFSKPY37N3C43SOI5IEXEK5JSIYA,review_a987c60f7f3c2a79
AFSKPY37N3C43SOI5IEXEK5JSIYA,review_411f20878cf430c4
AG35BKPUEUMX7LV5YLOQ5YCQ3GOA,review_8d0321d68d3eb17f
AHPUT3ITXCHQJO7OMF74LEMYHIVA,review_07f3ad02d5bc0c14
AHGAOIZVODNHYMNCBV4DECZH42UQ,review_2e5f9d1944f8834a
AHGAOIZVODNHYMNCBV4DECZH42UQ,review_f4c69b5a58a4bc8c
AHGAOIZVODNHYMNCBV4DECZH42UQ,review_389ee46a6f2fd49e
AFGEM6BXCYHUILEOA3P2ZYBEF2TA,review_2db84388d9c11aa3
AGC3Q6IXOVLTTDMS4Q55FPYUF6FQ,review_90b966404c618987
AHZ6XMOLEWA67S3TX7IWEXXGWSOA,review_0c1186aa4dd84320
AH6ZNRRCEEWR6P34CNLQ2LRLUU3Q,review_db9b80753c7f9572
AFZUK3MTBIBEDQOPAK3OATUOUKLA,review_4e14e95d0debcba7
AFZUK3MTBIBEDQOPAK3OATUOUKLA,review_1ba0dd37d4a7f0af
AFZUK3MTBIBEDQOPAK3OATUOUKLA,review_52d3f19e7ca71cdd
