product_id,category_id
0005946468,category_7252170e0eda5c0b
0977217213,category_7252170e0eda5c0b
097920500X,category_7252170e0eda5c0b
1598438263,category_7252170e0eda5c0b
1610182464,category_7252170e0eda5c0b
1625684320,category_7252170e0eda5c0b
1741666929,category_7252170e0eda5c0b
1891129716,category_7252170e0eda5c0b
6075085491,category_7252170e0eda5c0b
7458592737,category_7252170e0eda5c0b
8674394329,category_7252170e0eda5c0b
979077530X,category_7252170e0eda5c0b
B000052WYR,category_7252170e0eda5c0b
B0000530M9,category_7252170e0eda5c0b
B0000537I2,category_7252170e0eda5c0b
B00005AUIC,category_7252170e0eda5c0b
B00006AG6Z,category_7252170e0eda5c0b
B00006JUK6,category_7252170e0eda5c0b
B00009RB11,category_7252170e0eda5c0b
B0000ZLF18,category_7252170e0eda5c0b
B00011JN5G,category_7252170e0eda5c0b
B00013TBHE,category_7252170e0eda5c0b
B00013Z0EM,category_7252170e0eda5c0b
B000143M46,category_7252170e0eda5c0b
B00014FBC2,category_7252170e0eda5c0b
B00017YG6G,category_7252170e0eda5c0b
B0001DDK2G,category_7252170e0eda5c0b
B0001F3ULK,category_7252170e0eda5c0b
B0001HYJW2,category_7252170e0eda5c0b
B0001HYKBC,category_7252170e0eda5c0b
B0001UFEXW,category_7252170e0eda5c0b
B0001Z5ZAY,category_7252170e0eda5c0b
B00020BKCK,category_7252170e0eda5c0b
B00020UR4C,category_7252170e0eda5c0b
B00021W0IC,category_7252170e0eda5c0b
B00021W1P4,category_7252170e0eda5c0b
B00025H5W4,category_7252170e0eda5c0b
B00026KYLM,category_7252170e0eda5c0b
B00028EYWK,category_7252170e0eda5c0b
B00028NLKG,category_7252170e0eda5c0b
B0002DHG48,category_7252170e0eda5c0b
B0002DNRUU,category_7252170e0eda5c0b
B0002GFKYI,category_7252170e0eda5c0b
B0002J3FEW,category_7252170e0eda5c0b
B0002XHKM6,category_7252170e0eda5c0b
B0004E9ILY,category_7252170e0eda5c0b
B00064A816,category_7252170e0eda5c0b
B00067ZIPO,category_7252170e0eda5c0b
B0006LNJWO,category_7252170e0eda5c0b
B0006NXPMQ,category_7252170e0eda5c0b
B0006ODSKY,category_7252170e0eda5c0b
B0006PRV1U,category_7252170e0eda5c0b
B0006ULJVI,category_7252170e0eda5c0b
B00075MC2W,category_7252170e0eda5c0b
B00076HMSA,category_7252170e0eda5c0b
B00078X2UU,category_7252170e0eda5c0b
B00078ZROO,category_7252170e0eda5c0b
B0007CHJGY,category_7252170e0eda5c0b
B0007PF8SW,category_7252170e0eda5c0b
B0007PFQBG,category_7252170e0eda5c0b
B0007XQ2W0,category_7252170e0eda5c0b
B0007ZG2WI,category_7252170e0eda5c0b
B0008F6QGO,category_7252170e0eda5c0b
B0008G1YUG,category_7252170e0eda5c0b
B0009EILPI,category_7252170e0eda5c0b
B0009MFUOU,category_7252170e0eda5c0b
B0009QZYI8,category_7252170e0eda5c0b
B0009TAC14,category_7252170e0eda5c0b
B0009VS7LE,category_7252170e0eda5c0b
B0009YWGYA,category_7252170e0eda5c0b
B000AADG10,category_7252170e0eda5c0b
B000ABH7GE,category_7252170e0eda5c0b
B000AFILXS,category_7252170e0eda5c0b
B000AMG8E0,category_7252170e0eda5c0b
B000AMRIIK,category_7252170e0eda5c0b
B000ANM64A,category_7252170e0eda5c0b
B000AYXBHA,category_7252170e0eda5c0b
B000AZ8KY8,category_7252170e0eda5c0b
B000B12EAM,category_7252170e0eda5c0b
B000B658RI,category_7252170e0eda5c0b
B000B6DIOI,category_7252170e0eda5c0b
B000B7SA9A,category_7252170e0eda5c0b
B000B83E3Q,category_7252170e0eda5c0b
B000B9P4OM,category_7252170e0eda5c0b
B000BBPSFA,category_7252170e0eda5c0b
B000BC1RZY,category_7252170e0eda5c0b
B000BF0WZC,category_7252170e0eda5c0b
B000BI2PWW,category_7252170e0eda5c0b
B000BTAWMG,category_7252170e0eda5c0b
B000C1VY52,category_7252170e0eda5c0b
B000CD3RD2,category_7252170e0eda5c0b
B000CD7YGS,category_7252170e0eda5c0b
B000CEQZ9Y,category_7252170e0eda5c0b
B000COKYTG,category_7252170e0eda5c0b
B000COT29O,category_7252170e0eda5c0b
B000DN7BYC,category_7252170e0eda5c0b
B000E1ER9A,category_7252170e0eda5c0b
B000E3FHJ2,category_7252170e0eda5c0b
B000EFDKYE,category_7252170e0eda5c0b
B000EH0EQ4,category_7252170e0eda5c0b
B000ETVRQ8,category_7252170e0eda5c0b
B000EVGPE0,category_7252170e0eda5c0b
